"","L4","L5","L8","L9"
"nbr.val",8,8,8,8
"nbr.null",0,0,0,0
"nbr.na",0,0,0,0
"min",17,14,9,7
"max",22,20,16,14
"range",5,6,7,7
"sum",156,135,99,88
"median",19.5,17,12.5,11.5
"mean",19.5,16.875,12.375,11
"SE.mean",0.654653670707977,0.66648062880434,0.822398495690675,0.866025403784438
"CI.mean.0.95",1.54800994615032,1.57597625808755,1.94466342738359,2.04782467228412
"var",3.42857142857143,3.55357142857143,5.41071428571429,6
"std.dev",1.8516401995451,1.88509188862809,2.32609421256197,2.44948974278318
"coef.var",0.0949559076689796,0.111709148955739,0.187967209095917,0.222680885707562
"skewness",-0.17720775347209,0.0437344555106452,0.019553237793078,-0.306186217847897
"skew.2SE",-0.117808413649706,0.02907483856994,0.0129990696286367,-0.203553805628179
"kurtosis",-1.64420572916667,-1.2198314909977,-1.49734554210372,-1.60416666666667
"kurt.2SE",-0.55514464283625,-0.411860210299563,-0.505559214049764,-0.541625975034061
"normtest.W",0.919327901178382,0.976880403740649,0.976797541640897,0.932311002582392
"normtest.p",0.424433619738881,0.945855878892428,0.94536035770172,0.537344364722617
