"","edspend_pp","read8th"
"nbr.val",51,51
"nbr.null",0,0
"nbr.na",0,0
"min",3615.96970386512,238
"max",9991.97727069068,274
"range",6376.00756682556,36
"sum",303374.302858212,13345
"median",5496.02534370121,264
"mean",5948.51574231788,261.666666666667
"SE.mean",198.625774401419,0.989222973602649
"CI.mean.0.95",398.95160907204,1.98691281752901
"var",2012062.11108473,49.9066666666667
"std.dev",1418.47175195163,7.06446506585365
"coef.var",0.238458098355627,0.0269979556656827
"skewness",1.09043383811939,-0.86780417456534
"skew.2SE",1.63500919968933,-1.30119568867212
"kurtosis",0.805169402856353,0.698876861774824
"kurt.2SE",0.613770634705591,0.532745150909705
"normtest.W",0.906099897541138,0.938043360328803
"normtest.p",0.000676463688504219,0.0102591207271174
