"","homrate_100k","execrate_10m"
"nbr.val",51,51
"nbr.null",0,35
"nbr.na",0,0
"min",1.09945859517463,0
"max",35.4209921147422,11.8550272428526
"range",34.3215335195676,11.8550272428526
"sum",271.26019926474,89.1852177782708
"median",4.78324830736672,0
"mean",5.31882743656353,1.74872976035825
"SE.mean",0.685731036130997,0.459419763861077
"CI.mean.0.95",1.37733132107121,0.922771752982346
"var",23.9815797495778,10.7643924907346
"std.dev",4.89709911576005,3.28091336227194
"coef.var",0.920710283265749,1.87616945547939
"skewness",4.49721717913408,1.74112515622634
"skew.2SE",6.74317982791735,2.61066334217054
"kurtosis",25.1110752875273,1.75581000671796
"kurt.2SE",19.1418607844381,1.33843215902477
"normtest.W",0.556861455400033,0.602213106830051
"normtest.p",0.0000000000357512735371398,0.000000000161881068483554
